Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153638392,Work,Atom,1,2,3,True
153638393,Work,Atom,0,2,6,True
153638394,Work,Atom,6,1,6,True
153638395,Work,Atom,14,2,6,True
153638396,Work,Atom,8,2,6,True
153638397,Work,Atom,29,2,6,True
153638398,Work,Atom,16,2,6,True
153638800,Entertainment,Spotify,3,0,6,True
153638801,Entertainment,Spotify,0,2,6,True
153638802,Entertainment,Spotify,0,0,6,True
153638802,Work,Atom,0,2,6,True
153638803,Work,Atom,0,0,1,True
153638804,Work,Atom,0,2,6,True
153638805,Work,Atom,0,0,6,True
153638806,Work,Atom,0,2,6,False
153638807,Work,Atom,0,2,6,False
153638808,Work,Atom,0,2,6,True
153638809,Work,Atom,0,0,6,True
153638810,Work,Atom,0,2,6,True
153638811,Work,Atom,0,2,0,True
153638812,Work,Atom,0,2,6,True
153638813,Entertainment,Spotify,0,1,6,True
153638813,Work,Atom,0,2,6,False
153638814,Work,Atom,0,2,6,True
153638815,Entertainment,Spotify,0,1,6,True
153638816,Work,Atom,0,0,6,True
153638835,Work,Terminal,16,1,6,True
153638836,Work,Terminal,26,2,6,True
153638837,Work,Terminal,9,2,3,True
153638838,Work,Terminal,2,2,6,True
153638839,Work,Terminal,10,2,6,True
153638840,Work,Terminal,15,1,6,True
153638852,Work,Terminal,8,2,6,True
153638853,Work,Terminal,11,2,4,True
153638853,Work,Terminal,9,1,6,False
153638854,Work,Terminal,14,2,6,True
153638855,Work,Terminal,22,2,6,True
153638856,Work,Terminal,0,2,6,True
153638857,Work,Terminal,0,2,6,True
153638858,Work,Terminal,0,2,6,False
153638859,Work,Terminal,0,2,6,True
153638860,Work,Terminal,13,2,6,True
153638861,Work,Terminal,17,2,6,True
153638862,Work,Terminal,18,2,6,True
153638863,Work,Terminal,24,2,3,True
153638863,Work,Terminal,37,2,1,True
153638864,Work,Terminal,0,2,6,True
153638865,Work,Terminal,0,2,6,True
153638866,Work,Terminal,0,0,1,True
153638867,Work,Terminal,0,0,3,True
153638868,Work,Terminal,0,2,6,True
153638869,Work,Terminal,0,2,6,True
153638870,Work,Terminal,0,2,6,True
153638871,Work,Terminal,0,2,6,True
153638872,Work,Terminal,0,2,6,True
153638873,Work,Terminal,0,0,6,True
153638874,Work,Terminal,0,2,6,True
153638874,Work,Terminal,0,2,6,True
153638875,Work,Terminal,0,2,3,True
153638876,Work,Terminal,0,1,6,True
153638877,Work,Terminal,0,2,6,False
153638880,Work,Terminal,6,2,6,True
153638881,Work,Terminal,20,2,6,True
153638881,Work,Terminal,8,2,6,False
153638882,Work,Terminal,17,2,6,True
153638883,Work,Terminal,20,0,6,True
153638884,Work,Terminal,39,2,6,True
153638885,Work,Terminal,8,2,6,True
153638886,Work,Atom,0,2,6,False
153638887,Work,Atom,0,2,6,True
153638888,Work,Terminal,0,1,6,True
153638889,Work,Terminal,0,2,6,True
153638890,Work,Terminal,0,2,6,True
153638891,Work,Terminal,0,2,6,True
153638891,Work,Terminal,0,2,6,True
153639365,Work,Atom,1,2,6,True
153639366,Work,Atom,0,0,6,True
153639367,Miscellaneous,Google Chrome :: chrome://newtab,0,1,6,True
153639368,Miscellaneous,Google Chrome :: chrome://newtab,7,0,6,True
153639369,Miscellaneous,Google Chrome :: https://www.google.com.sg/search?q=unix+time&rlz=1C5CHFA_enSG730SG730&oq=unix+time&aqs=chrome..69i57j0l5.1803j0j1&sourceid=chrome&ie=UTF-,2,2,6,True
153639370,Work,Atom,0,2,6,True
153639371,Work,Atom,0,2,6,True
153639372,Work,Google Chrome :: https://stackoverflow.com/questions/1683531/how-to-import-existing-git-repository-into-anothe,0,0,6,True
153639373,Work,Atom,0,2,6,True
153639374,Work,Atom,0,2,6,True
153639374,Work,Atom,0,2,6,True
153639375,Work,Atom,0,2,0,True
153639376,Work,Atom,0,2,6,True
153639377,Work,Atom,0,2,0,True
153639378,Work,Atom,0,2,6,True
153639379,Work,Atom,0,2,6,True
153639380,Work,Atom,0,0,6,True
153639381,Work,Atom,0,0,6,True
153639382,Work,Atom,0,2,6,True
153639383,Work,Atom,0,2,6,True
153639384,Work,Atom,0,2,3,True
153639384,Work,Atom,0,2,6,True
153639385,Work,Atom,0,1,6,True
153639386,Work,Atom,0,1,6,True
153639387,Work,Atom,0,2,6,True
153639388,Work,Atom,0,2,6,True
153639389,Work,Atom,0,2,6,True
153639390,Work,Atom,0,2,6,True
153639391,Work,Atom,0,2,6,True
153639392,Work,Atom,0,2,6,True
153639393,Work,Atom,0,1,6,True
153639394,Work,Atom,0,2,6,True
153639395,Work,Atom,0,2,1,True
153639395,Work,Atom,0,2,6,True
153639396,Work,Atom,0,2,6,True
153639397,Work,Atom,0,2,6,True
153639398,Work,Atom,0,2,6,True
153639399,Work,Atom,8,2,6,True
153639400,Work,Atom,4,2,6,False
153639401,Work,Atom,0,2,6,True
153639402,Work,Atom,8,2,6,True
153639403,Work,Atom,9,2,6,True
153639404,Work,Atom,0,2,6,True
153639405,Work,Atom,0,0,6,True
153639406,Work,Atom,0,2,6,True
153639406,Work,Atom,0,0,6,True
153639407,Work,Atom,0,0,6,True
153639408,Work,Atom,0,2,6,True
153639409,Work,Atom,0,2,6,True
153639410,Work,Atom,0,2,6,True
153639411,Work,Atom,0,2,5,True
153639412,Work,Atom,0,0,6,False
153639413,Miscellaneous,Google Chrome :: chrome://newtab,21,0,6,True
