,Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
0,153638392,0,Atom,0.011904761904761904,2,3,1
1,153638393,0,Atom,0.0,2,6,1
2,153638394,0,Atom,0.07142857142857142,1,6,1
3,153638395,0,Atom,0.16666666666666666,2,6,1
4,153638396,0,Atom,0.09523809523809523,2,6,1
5,153638397,0,Atom,0.34523809523809523,2,6,1
6,153638398,0,Atom,0.19047619047619047,2,6,1
7,153638800,1,Spotify,0.03571428571428571,0,6,1
8,153638801,1,Spotify,0.0,2,6,1
9,153638802,1,Spotify,0.0,0,6,1
10,153638802,0,Atom,0.0,2,6,1
11,153638803,0,Atom,0.0,0,1,1
12,153638804,0,Atom,0.0,2,6,1
13,153638805,0,Atom,0.0,0,6,1
14,153638806,0,Atom,0.0,2,6,0
15,153638807,0,Atom,0.0,2,6,0
16,153638808,0,Atom,0.0,2,6,1
17,153638809,0,Atom,0.0,0,6,1
18,153638810,0,Atom,0.0,2,6,1
19,153638811,0,Atom,0.0,2,0,1
20,153638812,0,Atom,0.0,2,6,1
21,153638813,1,Spotify,0.0,1,6,1
22,153638813,0,Atom,0.0,2,6,0
23,153638814,0,Atom,0.0,2,6,1
24,153638815,1,Spotify,0.0,1,6,1
25,153638816,0,Atom,0.0,0,6,1
26,153638835,0,Terminal,0.19047619047619047,1,6,1
27,153638836,0,Terminal,0.30952380952380953,2,6,1
28,153638837,0,Terminal,0.10714285714285714,2,3,1
29,153638838,0,Terminal,0.023809523809523808,2,6,1
30,153638839,0,Terminal,0.11904761904761904,2,6,1
31,153638840,0,Terminal,0.17857142857142858,1,6,1
32,153638852,0,Terminal,0.09523809523809523,2,6,1
33,153638853,0,Terminal,0.13095238095238096,2,4,1
34,153638853,0,Terminal,0.10714285714285714,1,6,0
35,153638854,0,Terminal,0.16666666666666666,2,6,1
36,153638855,0,Terminal,0.2619047619047619,2,6,1
37,153638856,0,Terminal,0.0,2,6,1
38,153638857,0,Terminal,0.0,2,6,1
39,153638858,0,Terminal,0.0,2,6,0
40,153638859,0,Terminal,0.0,2,6,1
41,153638860,0,Terminal,0.15476190476190477,2,6,1
42,153638861,0,Terminal,0.20238095238095238,2,6,1
43,153638862,0,Terminal,0.21428571428571427,2,6,1
44,153638863,0,Terminal,0.2857142857142857,2,3,1
45,153638863,0,Terminal,0.44047619047619047,2,1,1
46,153638864,0,Terminal,0.0,2,6,1
47,153638865,0,Terminal,0.0,2,6,1
48,153638866,0,Terminal,0.0,0,1,1
49,153638867,0,Terminal,0.0,0,3,1
50,153638868,0,Terminal,0.0,2,6,1
51,153638869,0,Terminal,0.0,2,6,1
52,153638870,0,Terminal,0.0,2,6,1
53,153638871,0,Terminal,0.0,2,6,1
54,153638872,0,Terminal,0.0,2,6,1
55,153638873,0,Terminal,0.0,0,6,1
56,153638874,0,Terminal,0.0,2,6,1
57,153638874,0,Terminal,0.0,2,6,1
58,153638875,0,Terminal,0.0,2,3,1
59,153638876,0,Terminal,0.0,1,6,1
60,153638877,0,Terminal,0.0,2,6,0
61,153638880,0,Terminal,0.07142857142857142,2,6,1
62,153638881,0,Terminal,0.23809523809523808,2,6,1
63,153638881,0,Terminal,0.09523809523809523,2,6,0
64,153638882,0,Terminal,0.20238095238095238,2,6,1
65,153638883,0,Terminal,0.23809523809523808,0,6,1
66,153638884,0,Terminal,0.4642857142857143,2,6,1
67,153638885,0,Terminal,0.09523809523809523,2,6,1
68,153638886,0,Atom,0.0,2,6,0
69,153638887,0,Atom,0.0,2,6,1
70,153638888,0,Terminal,0.0,1,6,1
71,153638889,0,Terminal,0.0,2,6,1
72,153638890,0,Terminal,0.0,2,6,1
73,153638891,0,Terminal,0.0,2,6,1
74,153638891,0,Terminal,0.0,2,6,1
75,153639365,0,Atom,0.011904761904761904,2,6,1
76,153639366,0,Atom,0.0,0,6,1
77,153639367,2,Google Chrome :: chrome://newtab,0.0,1,6,1
78,153639368,2,Google Chrome :: chrome://newtab,0.08333333333333333,0,6,1
79,153639369,2,Google Chrome :: https://www.google.com.sg/search?q=unix+time&rlz=1C5CHFA_enSG730SG730&oq=unix+time&aqs=chrome..69i57j0l5.1803j0j1&sourceid=chrome&ie=UTF-,0.023809523809523808,2,6,1
80,153639370,0,Atom,0.0,2,6,1
81,153639371,0,Atom,0.0,2,6,1
82,153639372,0,Google Chrome :: https://stackoverflow.com/questions/1683531/how-to-import-existing-git-repository-into-anothe,0.0,0,6,1
83,153639373,0,Atom,0.0,2,6,1
84,153639374,0,Atom,0.0,2,6,1
85,153639374,0,Atom,0.0,2,6,1
86,153639375,0,Atom,0.0,2,0,1
87,153639376,0,Atom,0.0,2,6,1
88,153639377,0,Atom,0.0,2,0,1
89,153639378,0,Atom,0.0,2,6,1
90,153639379,0,Atom,0.0,2,6,1
91,153639380,0,Atom,0.0,0,6,1
92,153639381,0,Atom,0.0,0,6,1
93,153639382,0,Atom,0.0,2,6,1
94,153639383,0,Atom,0.0,2,6,1
95,153639384,0,Atom,0.0,2,3,1
96,153639384,0,Atom,0.0,2,6,1
97,153639385,0,Atom,0.0,1,6,1
98,153639386,0,Atom,0.0,1,6,1
99,153639387,0,Atom,0.0,2,6,1
100,153639388,0,Atom,0.0,2,6,1
101,153639389,0,Atom,0.0,2,6,1
102,153639390,0,Atom,0.0,2,6,1
103,153639391,0,Atom,0.0,2,6,1
104,153639392,0,Atom,0.0,2,6,1
105,153639393,0,Atom,0.0,1,6,1
106,153639394,0,Atom,0.0,2,6,1
107,153639395,0,Atom,0.0,2,1,1
108,153639395,0,Atom,0.0,2,6,1
109,153639396,0,Atom,0.0,2,6,1
110,153639397,0,Atom,0.0,2,6,1
111,153639398,0,Atom,0.0,2,6,1
112,153639399,0,Atom,0.09523809523809523,2,6,1
113,153639400,0,Atom,0.047619047619047616,2,6,0
114,153639401,0,Atom,0.0,2,6,1
115,153639402,0,Atom,0.09523809523809523,2,6,1
116,153639403,0,Atom,0.10714285714285714,2,6,1
117,153639404,0,Atom,0.0,2,6,1
118,153639405,0,Atom,0.0,0,6,1
119,153639406,0,Atom,0.0,2,6,1
120,153639406,0,Atom,0.0,0,6,1
121,153639407,0,Atom,0.0,0,6,1
122,153639408,0,Atom,0.0,2,6,1
123,153639409,0,Atom,0.0,2,6,1
124,153639410,0,Atom,0.0,2,6,1
125,153639411,0,Atom,0.0,2,5,1
126,153639412,0,Atom,0.0,0,6,0
127,153639413,2,Google Chrome :: chrome://newtab,0.25,0,6,1
128,153639414,2,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=lYOTW4CUCpqavQSX1aSIBA&q=spotify+detect+song+change&oq=spotify+detect+song+change&gs_l=psy-ab.3..33i22i29i30k1l3.411.3951.0.4094.13.11.2.0.0.0.106.778.9j1.10.0....0...1c.1.64.psy-ab..1.8.598...0i22i30k1j33i160k1.0.w2s_e1skJ4,0.16666666666666666,0,6,1
129,153639415,2,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=lYOTW4CUCpqavQSX1aSIBA&q=spotify+detect+song+change&oq=spotify+detect+song+change&gs_l=psy-ab.3..33i22i29i30k1l3.411.3951.0.4094.13.11.2.0.0.0.106.778.9j1.10.0....0...1c.1.64.psy-ab..1.8.598...0i22i30k1j33i160k1.0.w2s_e1skJ4,0.0,0,6,1
130,153639416,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,0
131,153639417,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,1
132,153639417,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,0
133,153639418,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,1
134,153639419,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,1
135,153639420,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,0,3,1
136,153639421,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,2,6,1
137,153639422,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,2,6,1
138,153639423,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,2,6,1
139,153639424,0,Google Chrome :: https://api.spotify.com/v1/me/player/currently-playin,0.0,1,6,1
140,153639425,0,Google Chrome :: https://api.spotify.com,0.023809523809523808,2,6,1
141,153639426,0,Google Chrome :: https://developer.spotify.com,0.0,2,6,1
142,153639427,0,Google Chrome :: https://developer.spotify.com,0.0,2,6,1
143,153639428,0,Google Chrome :: https://developer.spotify.com,0.0,2,6,1
144,153639428,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,6,1
145,153639429,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,4,1
146,153639430,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,1,6,0
147,153639431,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,0,6,0
148,153639432,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,0,6,1
149,153639433,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,0,6,1
150,153639434,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,6,1
151,153639435,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,6,1
152,153639436,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,6,1
153,153639437,0,Google Chrome :: https://developer.spotify.com/documentation/web-api,0.0,2,6,1
154,153639438,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,2,6,0
155,153639438,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,0,6,1
156,153639439,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,0,6,1
157,153639440,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,1,6,1
158,153639441,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0.0,2,6,0
159,153639442,0,Atom,0.0,2,6,1
160,153639443,0,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start/#listening-through-the-sd,0.0,2,6,1
161,153639444,0,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0.0,0,6,1
162,153639445,0,Google Chrome :: https://stackoverflow.com/questions/1683531/how-to-import-existing-git-repository-into-anothe,0.44047619047619047,2,6,1
